A. B. Cook	Brig	1	20	1
A. E. Whyland	Schr	4	63	18
A. Houghton	Bark	1	30	1
A. Houghton	bark	2	37	19
A. J. Ross	Brig	2	43	2
A. M. Nicholson	Schr	12	73	179
A. R. Tucker	Bark	20	386	115
Abbie Bradford	Brig	1	19	1
Abbie Bradford	Schr	7	102	43
Abbott Lawrence	Brig	5	112	5
Abigail	Ship	9	170	188
Abraham Barker	Bark	3	99	3
Abraham Barker	Ship	5	55	161
Abraham H. Howland	Ship	3	0	103
Acasta	Ship	8	204	9
Acors Barns	Bark	2	75	2
Active	Bark	5	129	80
Actor	Schooner	1	14	1
Acushnet	NA	1	27	47
Acushnet	Ship	2	25	27
Ada S. Babson	Schr	1	16	1
Addison	Bark	4	120	5
Addison	Ship	7	115	185
Adelia Chase	Schr	14	192	39
Adeline Gibbs	Bark	7	198	8
Adeline Gibbs	Ship	5	37	151
Adeline	Ship	9	135	211
Admiral Blake	Schr	29	452	117
Aerial	bark	3	64	54
Aeronaut	Ship	8	165	28
Afton	Bark	3	45	77
Agate	Brig	3	15	35
Agate	NA	1	14	16
Agenora	Brig	1	14	1
Alabama Packet	Brig	3	62	3
Alabama	Bark	1	29	31
Alaska	Bark 	1	28	1
Alaska	Bark	4	113	4
Albion	Bark	1	3	26
Albion	NA	3	78	35
Albion	Ship	10	216	100
Alert	Bark	4	114	4
Alert	Ship	4	124	4
Alexander Coffin	Ship	3	4	95
Alexander	Brig	2	45	2
Alexander	NA	1	19	1
Alexander	Ship	5	56	129
Alfred Gibbs	Bark	1	32	1
Alfred Gibbs	Ship	4	57	68
Alfred	Schr	4	35	69
Alice Frazier	Bark	3	58	75
Alice Knowles	Bark	6	153	47
Alice Mandell	Ship	2	31	66
Alliance	Brig	3	125	5
Alliance	Ship	1	19	1
Allie B. Dyer	Schr	1	13	1
Almy 	Brig	1	14	1
Almy	Brig	11	229	14
Altamaha (Alatamaha)	Brig	4	74	11
Altamaha (Alatamaha)	Schr	5	47	91
Alto	Bark	9	142	107
Amanda	Bark	3	82	4
Amaret 	Brig	1	14	1
Amaret	Brig	4	58	1
Amaret	Schooner	1	7	1
Amazon	Bark	3	74	101
Amazon	Schooner	3	39	2
Amazon	Ship	12	252	62
Amelia	Brig	6	75	116
Amelia	Schr	6	64	47
America II	Ship	2	63	43
America	Bark	7	80	206
America	Brig	11	69	201
America	Ship	7	102	215
American	Ship	1	14	1
Amethyst	Ship	10	98	185
Amstel	Brig	2	0	2
Amy M. Sacker	Schr	1	17	1
Anaconda	Bark	3	55	66
Anadir	Bark	1	35	35
Andes	Bark	1	1	32
Andrew Hicks	Bark	8	213	39
Andrews	Bark	7	132	96
Ann Alexander	Ship	15	309	117
Ann Howard	Schooner	2	41	2
Ann Maria	bark	4	83	11
Ann Maria	brig	3	54	0
Ann Maria	Ship	11	303	11
Annawan II	Bark	6	124	9
Annawan II	Brig	10	209	222
Annie Ann	Bark	1	24	1
Ansel Gibbs	Bark	6	175	7
Ansel Gibbs	Ship	3	29	60
Ansel Gibbs	ship	1	18	5
Ansel Gibbs	Ship	3	60	29
Antarctic	Schr	3	37	17
Antarctic	Ship	1	0	30
Antelope	Bark 	1	26	4
Antelope	Bark	2	64	6
Arab	Bark	13	207	142
Arab	Ship	8	85	193
Arabella	Ship	1	24	50
Archer	Ship	5	29	163
Architect	Bark	1	23	1
Arctic	Ship	3	33	93
Armadillo	Schr	1	14	1
Armata	Ship	7	227	5
Arnolda	Bark	4	117	4
Arnolda	Ship	6	113	129
Arthur V. S. Woodruff	Schr	6	69	62
Asia	Ship	1	18	1
Astoria	Schr	2	30	2
Athlete	Schr	3	0	49
Atkins Adams	Bark	1	25	31
Atkins Adams	Ship	3	0	74
Atlantic	Bark	8	180	70
Atlantic	Schooner	5	63	5
Atlantic	Ship	1	42	0
Atlas	Schooner	4	44	3
Atlas	Ship	3	70	3
Attleboro	Bark	2	51	2
Augusta	Ship	3	67	3
Augustus	Ship	3	86	4
Aurelia	Schr	3	41	3
Aurora	Bark 	1	30	1
Aurora	Bark	1	28	32
Aurora	Brig	1	12	1
Aurora	Schr	3	56	3
Aurora	Ship	1	20	4
Averick	Ship	5	114	32
Avis	Ship	1	25	1
Avola	Bark	3	81	3
